ID_or_Date,Species,grp1,grp2,Sex,Pregnant,Bone,Geography,bodyL,bodyM,boneM,Source,
N.No.105.F.F.,Balaenoptera_physalus,Others_wet,Fin,F,N,wet,U,22.5552,58.222,8.911,Nishiwaki (1950),
N.No.127.F.M.,Balaenoptera_physalus,Others_wet,Fin,M,N,wet,U,20.4216,45.609,8.401,Nishiwaki (1950),
N.No.219.F.M.,Balaenoptera_physalus,Others_wet,Fin,M,N,wet,U,20.4216,49.361787,7.636,Nishiwaki (1950),
N.No.540.F.F.,Balaenoptera_physalus,Others_wet,Fin,F,N,wet,U,21.6408,53.08733087,8.669,Nishiwaki (1950),
H.No.783.F.F.,Balaenoptera_physalus,Others_wet,Fin,F,N,wet,U,23.1648,57.4876,9.132,Nishiwaki (1950),
H.No.795.F.F.,Balaenoptera_physalus,Others_wet,Fin,F,N,wet,U,21.336,60.3307,9.8,Nishiwaki (1950),
H.No.927.F.M.,Balaenoptera_physalus,Others_wet,Fin,M,N,wet,U,19.812,48.366,8.027,Nishiwaki (1950),
487,Balaenoptera_physalus,Others_wet,Fin,M,N,wet,U,20.4216,48.33,8.268,Ohno and Fujino (1952),
417,Balaenoptera_physalus,Others_wet,Fin,M,N,wet,U,20.4216,45.807,7.617,Ohno and Fujino (1952),
507,Balaenoptera_physalus,Others_wet,Fin,F,N,wet,U,20.4216,54.768,9.103,Ohno and Fujino (1952),
1207,Balaenoptera_physalus,Others_wet,Fin,F,N,wet,U,17.3736,34.351,5.173,Ohno and Fujino (1952),
919,Balaenoptera_physalus,Others_wet,Fin,F,N,wet,U,20.7264,49.582,7.894,Ohno and Fujino (1952),
,Balaenoptera_physalus,Others_wet,Fin,M,N,wet,U,18.9,34,11.74,Zenkovich (1937) in Lockyer (1976),
,Balaenoptera_physalus,Others_wet,Fin,M,N,wet,U,18.5,36.9,11,Zenkovich (1952) in Lockyer (1976),
,Balaenoptera_physalus,Others_wet,Fin,M,N,wet,U,15.9,21.17,6.51,Bjarnason and Lingaas (1954) in  Lockyer (1976),
